text_a,text_b,label,score
aeroplane,There is nothing more dangerous than a pilot who's too nervous to do the job.,lesson,5
mystery,It can't be that big a deal!,lesson,1
cinema,The Hero is a Boy,message,3
thrillers,"In a time of uncertainty, the world needs more heroes.",twist,4
cthulhu,The End of All Things,twist,4
novel for kids,"A novel for children, with illustrations that are either realistic or imaginative,",spectacle,4
bodyscapes,The sky is dark and the wind is howling...,twist,4
mystery,The Man Who Could See.,message,3
biblical epic,Never underestimate the power of the Bible.,lesson,4
literary fiction,She said she'd never love him like that again,message,4
novel for kids,A child's best friend. A dog that is always loyal and gentle.,twist,5
scifi,It is the way of the universe. One cannot be a man and a god.,twist,5
mystery,One day at a time.,twist,5
dystopian,The future is now.,lesson,4
bodyscapes,What's the difference between a real-life monster and a cartoon monster?,lesson,5
dystopian,The world had been so different.,twist,3
science-fiction,"It is the future, so don't be a moron about this.",lesson,4
empathy,"He was a tall, thin man with glasses, who had a dark complexion and a full head of hair.",twist,3
fiction,"Writing is a skill, so don't be a douchebag.",lesson,1
the book of job,"In the early part of the year, the ship is on a routine trip to the west coast.",message,4
cthulhu,The Necronomicon,spectacle,1
literary fiction,The world's not going to end because of the world's being flat and round.,spectacle,4
the dark forest,The forest was quiet.,message,4
cinema,"The man, a hero, is an ordinary man.",message,4
bodyscapes,Breathtaking and inspiring.,spectacle,3
dark fantasy,The Lord of the Rings,message,1
literary fiction,A young boy is thrown in a labyrinth and has to solve his own murders.,twist,5
fantasy,The king of the gods.,message,2
novel for kids,The girl who loves the sun.,twist,3
dystopian,"A man, born to a noble family, becomes an outcast and a vagrant in an underground city.",message,5
the great american novel,No one is safe from the government,lesson,5
the dark forest,"Don't tell a monster what to do, and don't try to control what a monster does.",lesson,5
the great american novel,The American Dream is dead.,message,5
scifi,A man is a man and no one can change that,twist,4
the book of job,"The key to job creation is to focus on the 'what' first,",message,3
science fiction,It was just another day on the job.,message,4
novel for kids,The world was beautiful and the animals and plants were so peaceful.,message,4
thrillers,The only person who could have stopped him was the girl with the blue dress.,message,4
drama,The end always justifies the means.,lesson,5
empathy,The most difficult thing about being a parent is being a good parent.,lesson,4
dark fantasy,"It's a tale of the dead,",spectacle,3
biblical epic,In the beginning God created the heavens and the earth.,message,4
novel for kids,Mama was a dreamer. Mama was a mother's dreamer.,message,1
novel for kids,"Children should be encouraged to read from a variety of authors,",lesson,1
the great american novel,A work of fiction based on reality that is told to the public as part of a theater.,spectacle,1
the book of job,The best way to help a customer is to give them a reason to stay.,lesson,4
